Site_troph,Lat,Long,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Metacom,Meta_troph,Site,Bio_gr,Ecosys,New_tr_g,S
LEPAS_14-972_Primary,41.57143429,-82.77067648,0.811168228,0.612726759,2.328491807,0.848315134,LEPAS,LEPAS_Primary,LEPAS_14-972,Zooplankton,Lake,Primary,16
LEPAS_16-970_Primary,41.64004568,-82.76651019,0.805182739,0.601950137,2.476854224,0.822535887,LEPAS,LEPAS_Primary,LEPAS_16-970,Zooplankton,Lake,Primary,16
LEPAS_27-918_Primary,41.77532268,-83.05540109,0.665160882,0.606098563,2.356595268,0.584516151,LEPAS,LEPAS_Primary,LEPAS_27-918,Zooplankton,Lake,Primary,14
LEPAS_29-905_Primary,41.86615568,-83.13595819,0.714138171,0.604005815,2.275432686,0.671787859,LEPAS,LEPAS_Primary,LEPAS_29-905,Zooplankton,Lake,Primary,13
LEPAS_3-996_Primary,41.44726753,-82.61845292,0.816998211,0.601212531,2.228727995,0.724695802,LEPAS,LEPAS_Primary,LEPAS_3-996,Zooplankton,Lake,Primary,16
LEPAS_36-873_Primary,41.76809819,-83.30151242,0.735813071,0.512138218,1.942105937,0.555816037,LEPAS,LEPAS_Primary,LEPAS_36-873,Zooplankton,Lake,Primary,14
LEPAS_37-890_Primary,41.70226516,-83.24873464,0.731999954,0.475367683,2.097982798,0.555259335,LEPAS,LEPAS_Primary,LEPAS_37-890,Zooplankton,Lake,Primary,14
LEPAS_8-994_Primary,41.51754601,-82.60123162,0.833095352,0.679284522,2.413198646,0.843595624,LEPAS,LEPAS_Primary,LEPAS_8-994,Zooplankton,Lake,Primary,17
