Site_troph,Lat,Long,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Metacom,Meta_troph,Site,Bio_gr,Ecosys,New_tr_g,S
1705_155-16-IS_Primary,44.29746887116752,-118.5496953872672,0.6243789842957079,0.6389546389787508,2.0178039883755283,0.8064021884621891,1705,1705_Primary,1705_155-16-IS,Macroinvertebrates,Stream,Primary,6
1705_155-16-IS_Secondary,44.29746887116752,-118.5496953872672,0.3705755617112958,0.584012921715567,1.8911766443630273,0.7267401242714405,1705,1705_Secondary,1705_155-16-IS,Macroinvertebrates,Stream,Secondary,2
1706_072-07-IS_Primary,46.88206644297205,-116.16369896996724,0.7154368550141145,0.9159889653098491,2.554329252877497,1.9919879633103743,1706,1706_Primary,1706_072-07-IS,Macroinvertebrates,Stream,Primary,9.5
1706_072-07-IS_Secondary,46.88206644297205,-116.16369896996724,0,0.5892491756390887,2.696310318882009,1.741858912658047,1706,1706_Secondary,1706_072-07-IS,Macroinvertebrates,Stream,Secondary,1
1706_109-13-IS_Primary,44.07973217037996,-114.87087687755853,0.647084406326576,0.6249172693085433,2.185580362548101,0.7429304721934613,1706,1706_Primary,1706_109-13-IS,Macroinvertebrates,Stream,Primary,8.5
1706_109-13-IS_Secondary,44.07973217037996,-114.87087687755853,0.4046989166036785,0.7418594238999052,2.231044383084716,0.8490704173673319,1706,1706_Secondary,1706_109-13-IS,Macroinvertebrates,Stream,Secondary,2
1706_116-01-IS_Primary,44.19427872839391,-114.98751154837296,0.6282627566196021,0.5671391566239793,1.9003979570941372,0.7848005263889731,1706,1706_Primary,1706_116-01-IS,Macroinvertebrates,Stream,Primary,8
1706_116-01-IS_Secondary,44.19427872839391,-114.98751154837296,1,0.9506018423838875,2.8922671313470185,2.5592894393288064,1706,1706_Secondary,1706_116-01-IS,Macroinvertebrates,Stream,Secondary,0
1706_117-12-IS_Primary,44.40781625514519,-115.49367231896277,0.6111825678594909,0.9878361868135653,2.641050109882448,3.0661219279101664,1706,1706_Primary,1706_117-12-IS,Macroinvertebrates,Stream,Primary,5.5
1706_117-12-IS_Secondary,44.40781625514519,-115.49367231896277,1,1,3.4641016151377544,3.4641016151377544,1706,1706_Secondary,1706_117-12-IS,Macroinvertebrates,Stream,Secondary,0
1706_119-05-IS_Primary,44.80130403391485,-115.49165374114246,0.7758882832227241,0.5849050619038736,1.8494172798574438,0.6941414562810007,1706,1706_Primary,1706_119-05-IS,Macroinvertebrates,Stream,Primary,11
1706_119-05-IS_Secondary,44.80130403391485,-115.49165374114246,0.3474999999999999,0.557054023786245,2.492734525401333,0.801763560911352,1706,1706_Secondary,1706_119-05-IS,Macroinvertebrates,Stream,Secondary,2
1706_132-15-IS_Primary,46.18749750440454,-117.61850620789315,0.7408405947394585,0.6832682600956584,1.7361108665751905,0.797187608307674,1706,1706_Primary,1706_132-15-IS,Macroinvertebrates,Stream,Primary,11.5
1706_132-15-IS_Secondary,46.18749750440454,-117.61850620789315,0.42384353741496594,0.6666311639798959,2.518676140731828,0.9017461048631337,1706,1706_Secondary,1706_132-15-IS,Macroinvertebrates,Stream,Secondary,2.5
1706_140-17-IS_Primary,45.38308366715198,-117.67306746899752,0.764066535038588,0.7072484691317446,2.049082702341938,0.9710701609520715,1706,1706_Primary,1706_140-17-IS,Macroinvertebrates,Stream,Primary,12
1706_140-17-IS_Secondary,45.38308366715198,-117.67306746899752,0.47300021765963546,0.8784378090844727,2.032179666232916,1.5006172345146584,1706,1706_Secondary,1706_140-17-IS,Macroinvertebrates,Stream,Secondary,2.5
1707_152-15-IS_Primary,44.811938965745924,-118.68370721132149,0.7677221145234614,0.48286066424123014,1.6042392404687855,0.5234909011197318,1707,1707_Primary,1707_152-15-IS,Macroinvertebrates,Stream,Primary,11
1707_152-15-IS_Secondary,44.811938965745924,-118.68370721132149,0.47337278106508873,0.5166028881600356,1.6057607980161066,0.707152168982074,1707,1707_Secondary,1707_152-15-IS,Macroinvertebrates,Stream,Secondary,2
1707_155-10-IS_Primary,44.26932802908259,-118.87442320346427,0.8280747922437673,0.5188536007328249,1.698606585264701,0.47700803413877874,1707,1707_Primary,1707_155-10-IS,Macroinvertebrates,Stream,Primary,13
1707_155-10-IS_Secondary,44.26932802908259,-118.87442320346427,0.2721893491124261,0.6656572188947821,1.4815130542605592,0.5640084466642963,1707,1707_Secondary,1707_155-10-IS,Macroinvertebrates,Stream,Secondary,3
1707_157-13-IS_Primary,44.47527215758485,-119.63403092331932,0.6936728395061729,0.7353017204934889,1.7040159204504248,0.8375215706763908,1707,1707_Primary,1707_157-13-IS,Macroinvertebrates,Stream,Primary,10
1707_157-13-IS_Secondary,44.47527215758485,-119.63403092331932,0.3807463493780423,0.7145203203136307,1.4179837454028483,0.7739641516965868,1707,1707_Secondary,1707_157-13-IS,Macroinvertebrates,Stream,Secondary,2
1707_157-15-IS_Primary,44.222707796655676,-119.81304515723342,0.735026457060601,0.476309391331239,1.7168231878800533,0.6017427918199709,1707,1707_Primary,1707_157-15-IS,Macroinvertebrates,Stream,Primary,11
1707_157-15-IS_Secondary,44.222707796655676,-119.81304515723342,0.4097815020753388,0.8227598890151258,1.466444024620139,1.0481191488497406,1707,1707_Secondary,1707_157-15-IS,Macroinvertebrates,Stream,Secondary,2
1707_166-06-IS_Primary,44.972959872200015,-119.28550443351067,0.4513947590870667,0.5182876146210471,1.8510047018676241,0.5988549388848678,1707,1707_Primary,1707_166-06-IS,Macroinvertebrates,Stream,Primary,10
1707_166-06-IS_Secondary,44.972959872200015,-119.28550443351067,0.11072664359861584,0.6505615349868786,2.4550348387478023,1.5362426967471814,1707,1707_Secondary,1707_166-06-IS,Macroinvertebrates,Stream,Secondary,1
2080020590_175_Secondary,44.98365,3.212008609,0,0.6625466232776157,2.1394212671160155,1.1914911061416666,2080020590,2080020590_Secondary,2080020590_175,Fish,Stream,Secondary,1
2080020590_175_Tertiary,44.98365,3.212008609,0,0.9678238872657704,1.6377413177245976,0.8136656181981972,2080020590,2080020590_Tertiary,2080020590_175,Fish,Stream,Tertiary,1
2080020590_177_Secondary,44.96247,2.926558762,0.4787424880771987,0.6674042794578161,0.7725256973373773,0.4408697726185448,2080020590,2080020590_Secondary,2080020590_177,Fish,Stream,Secondary,3
2080020590_177_Tertiary,44.96247,2.926558762,0,1,0.27923390073497883,0.27923390073497883,2080020590,2080020590_Tertiary,2080020590_177,Fish,Stream,Tertiary,1
2080020590_429_Secondary,44.65415,0.076831139,0.6420138888888889,0.5502180893849207,1.8476640883872257,0.6405389877165837,2080020590,2080020590_Secondary,2080020590_429,Fish,Stream,Secondary,6.5
2080020590_429_Tertiary,44.65415,0.076831139,0.5434797886096587,0.6262576709698829,1.5186862459223511,0.7653286087338562,2080020590,2080020590_Tertiary,2080020590_429,Fish,Stream,Tertiary,4
2080020590_501_Secondary,44.47406,1.425225645,0.663656063721921,0.6342817325415873,1.7444920688617978,0.6087435991584323,2080020590,2080020590_Secondary,2080020590_501,Fish,Stream,Secondary,8
2080020590_501_Tertiary,44.47406,1.425225645,0.5123456790123457,0.7401056154037874,1.6069446576728998,0.8342287819859739,2080020590,2080020590_Tertiary,2080020590_501,Fish,Stream,Tertiary,4
2080020590_506_Secondary,44.57065,1.554753071,0,0.9949604514712853,1.818095681821996,0.5004250680424641,2080020590,2080020590_Secondary,2080020590_506,Fish,Stream,Secondary,1
2080020590_506_Tertiary,44.57065,1.554753071,0,1,0.5851379501541522,0.5851379501541522,2080020590,2080020590_Tertiary,2080020590_506,Fish,Stream,Tertiary,1
2080020590_507_Secondary,44.69982,2.103950004,0.45701721037206,0.5291200713263389,1.8874127457926817,0.3559235716449802,2080020590,2080020590_Secondary,2080020590_507,Fish,Stream,Secondary,2.5
2080020590_507_Tertiary,44.69982,2.103950004,0,0.9868206659136666,1.760812495439281,0.35766434081069415,2080020590,2080020590_Tertiary,2080020590_507,Fish,Stream,Tertiary,1
